,text,original,generated
377,"While I’m drowning, while I’m drowning
",0,0
378,"Or you choose to take it one step further than the herb
",0,0
379,"If I get old
",0,0
380,"Can you hit me with that note?
",0,0
381,"The big city everyone is looking forward
",0,0
382,"Packed with foam and blind drunk
",0,0
383,"I will stop, I will stop at nothing
",0,0
384,"The best thing that youve ever, ever had
",0,0
385,"Wanting me to 
",0,0
386,"Everything I touch
",0,0
387,"These things
",0,0
388,"Of the rest of your days
",0,0
389,"In my heart is where I long for you
",0,0
390,"Morning bell
",0,0
391,"Gaining speed, I run at full tilt
",0,0
392,"So theres no point in your warbird
",0,0
393,"Grow my hair, I am Jim Morrison
",0,0
394,"I dont wanna be your friend
",0,0
395,"I walked and I timed
",0,0
396,"And forget about your house of cards
",0,0
397,"It was just a laugh, just a laugh
",0,0
398,"I’m sinking now
",0,0
399,"Never want to do it
",0,0
400,"Ill mine until my pickaxe breaks
",0,0
401,"A bully in a china shop
",0,0
402,"Throw him on the fire, throw him on the
",0,0
403,"To be a brilliant light, oh
",0,0
404,"A light you can feel it on your back
",0,0
405,"I dont like to talk
",0,0
406,"Why should I stay here?
",0,0
407,"The poison, I got the poison
",0,0
408,"By colored windmills
",0,0
409,"This ones optimistic
",0,0
410,"All around, and I see into you
",0,0
411,"You dont mean it, but it hurts like hell
",0,0
412,"She screwed me in a vice
",0,0
413,"The fish are bеlly up
",0,0
414,"No one inside of my head
",0,0
415,"With your head on backwards
",0,0
416,"Spectre, how he laughs
",0,0
417,"I can watch but not take part
",0,0
418,"And you just say the word
",0,0
419,"Such a pretty house
",0,0
420,"You crawled off and left us
",0,0
421,"Standing on the edge of
",0,0
422,"If you come home I’ll bake you a cake
",0,0
423,"Favours for favours
",0,0
424,"We are not the same as you
",0,0
425,"Big Bird
",0,0
426,"Ive given all I can but were still on the payroll
",0,0
427,"And fall off
",0,0
428,"The smell of air-conditioning
",0,0
429,"I shall now amputate, I shall now contort
",0,0
430,"Ive bled and I bleed to please you
",0,0
431,"It doesnt matter anyway
",0,0
432,"Just like before
",0,0
433,"Because I cant do it face to face
",0,0
434,"When I understand
",0,0
435,"We dont really want a monster taking over
",0,0
436,"Or you
",0,0
437,"Reckoner
",0,0
438,"Too much, too bright, too powerful
",0,0
439,"Let down and hanging
",0,0
440,"Que eres un dios
",0,0
441,"Oh no
",0,0
442,"Im amazed that I survived
",0,0
443,"Ooooh, aaaaah, aaaaah
",0,0
444,"And now Ill set you free
",0,0
445,"A couple more for breakfast
",0,0
446,"Same old suit since 1962
",0,0
447,"Words are sawn-off shotguns
",0,0
448,"Here she comes now, Mr. B 29
",0,0
449,"But I cant fight the feeling
",0,0
450,"And hes trying what is in his arm, but I dont mind
",0,0
451,"This is why events unnerve me
",0,0
452,"You bit me, bit me, and now I want more
",0,0
453,"No one gets hurt
",0,0
454,"Shook hands with the cripples and I gave them all milk
",0,0
